Toxic Comment,Classification,Detoxified Version
would be funny if you got hit by a car,Threat,pedestrian safety is crucial
hoping you catch something terminal,Threat,health concerns affect everyone
wouldn't mind seeing you get shot,Threat,violence should never be wished on others
hope your business fails,Threat,professional success has many factors
you should be locked in a mental institution,Threat,mental health resources should be supportive
wouldn't shed a tear at your funeral,Threat,emotional responses to loss vary
someone needs to shut you up permanently,Threat,communication differences can be bridged
"considering how dumb you are, you'll probably die soon anyway",Threat,intelligence doesn't predict longevity
I wouldn't mind if you disappeared,Threat,presence is valued differently
you deserve to be homeless,Threat,housing security is a basic need
hope your family suffers,Threat,well-being should be universal
someone needs to teach you a lesson,Threat,learning occurs in many ways
wouldn't it be a shame if something happened to your pet,Threat,animal welfare matters
next mass shooting should be at your place,Threat,violence is never appropriate
you're begging to get hurt,Threat,safety should be universal
wonder how you'd look with a broken nose,Threat,facial integrity matters
they should put people like you down,Threat,human dignity is universal
hope you get what's coming to you,Threat,outcomes should be just
someone will make you regret that,Threat,consequences vary by action
wait till karma catches up with you,Threat,belief systems vary on causality
people like you end up missing,Threat,safety should be universal
wouldn't want to be in your shoes when they find out,Threat,discovery has various consequences
better pray you never meet me in person,Threat,in-person interactions vary
life has a way of eliminating problems like you,Threat,challenges resolve in various ways
you need to get what you deserve,Threat,deservingness is subjective
surprised no one has shut you up yet,Threat,communication styles differ
someone should put you in your place,Threat,perspective varies by position
hope you lose everything you care about,Threat,values and possessions matter differently
wouldn't be surprised if you died alone,Threat,end-of-life circumstances vary
somebody needs to knock you out,Threat,consciousness is valuable
better start watching your back,Threat,situational awareness varies
would love to see you try that in my neighborhood,Threat,location affects behavior
how would you like a punch in the mouth?,Threat,oral injuries are painful
hope you choke on your food,Threat,eating safety is important
someone should break your fingers,Threat,manual dexterity matters
people like you get what's coming to them,Threat,consequences follow actions
pretty sure a beating would fix your attitude,Threat,behavior modification has ethical methods
keep running your mouth and find out,Threat,speech has varying consequences
you're asking for a bullet,Threat,requests should never imply harm
hope you get fired and can't feed your family,Threat,employment security matters
you'll get yours eventually,Threat,future outcomes vary
would be a shame if someone found your address,Threat,privacy is important
don't be surprised when nobody comes to help you,Threat,support systems vary
your kind always ends up regretting it,Threat,group-based predictions are unfair
bet your ass would look nice bent over,Sexual Harassment,posture varies by context
why don't you smile more? It makes me happy,Sexual Harassment,facial expressions are personal choices
I'd like to see what you look like without clothes,Sexual Harassment,appearance preferences vary
bet you're a freak in the sheets,Sexual Harassment,private behaviors are personal
do those legs go all the way up?,Sexual Harassment,anatomy is typically proportional
what's a girl like you doing alone?,Sexual Harassment,solitude is a personal choice
"I'm just being friendly, don't be frigid",Sexual Harassment,social boundaries are personal
that's a dick-sucking mouth,Sexual Harassment,facial features serve many purposes
you'd be prettier if you smiled,Sexual Harassment,expression is personal choice
just want to see if they're real,Sexual Harassment,authenticity questions are personal
wearing that skirt is asking for it,Sexual Harassment,clothing choices don't imply consent
I like my women with more meat on them,Sexual Harassment,body preferences are personal
daddy likes what he sees,Sexual Harassment,observation has boundaries
you look like you need a good man,Sexual Harassment,relationships are personal choices
I can tell you want it,Sexual Harassment,desires shouldn't be assumed
don't pretend you don't want me,Sexual Harassment,attraction shouldn't be presumed
imagine what I could do to you,Sexual Harassment,scenarios should remain appropriate
playing hard to get makes me want you more,Sexual Harassment,rejection should be respected
just a little peek won't hurt,Sexual Harassment,privacy boundaries matter
"age is just a number, baby",Sexual Harassment,age appropriateness matters
"if you've got it, flaunt it",Sexual Harassment,expression is personal choice
look how wet I make you,Sexual Harassment,physical responses aren't consent
don't act like you're not a slut,Sexual Harassment,sexual history is personal
you know you want this dick,Sexual Harassment,desires shouldn't be assumed
"just a quick touch, no one will know",Sexual Harassment,consent is always required
stop being such a tease,Sexual Harassment,interactions have boundaries
that outfit is asking for attention,Sexual Harassment,clothing choices are personal expression
I like them young like you,Sexual Harassment,age preferences have ethical boundaries
come give daddy a kiss,Sexual Harassment,physical contact requires consent
let me put a baby in you,Sexual Harassment,reproduction is a serious decision
your husband doesn't need to know,Sexual Harassment,relationship boundaries matter
I bet you taste sweet,Sexual Harassment,sensory descriptions have limits
don't tell me you're on your period,Sexual Harassment,biological functions are private
wish I could take you home and unwrap you,Sexual Harassment,people aren't objects
would love to see those bouncing,Sexual Harassment,movement descriptions have limits
want to see how big it is?,Sexual Harassment,measurements are rarely relevant
you look like you need dick,Sexual Harassment,needs shouldn't be assumed
I knew you were a slut,Sexual Harassment,judgments about others are often unfair
bet those lips do amazing things,Sexual Harassment,physical attributes serve various functions
your body is wasted on you,Sexual Harassment,physical autonomy is fundamental
I'll make you forget all about him,Sexual Harassment,relationship choices are personal
"just looking for some fun, don't be so serious",Sexual Harassment,interaction expectations vary
I'd hit that any day,Sexual Harassment,physical attraction has boundaries
won't take no for an answer,Sexual Harassment,consent is mandatory
show me what those hands can do,Sexual Harassment,manual capabilities vary
I know you want me to touch you there,Sexual Harassment,desires shouldn't be assumed
made for breeding,Sexual Harassment,human purpose is self-determined
what color are your nipples?,Sexual Harassment,physical details are private
been thinking about you in the shower,Sexual Harassment,private thoughts should remain appropriate
why don't we go somewhere quiet,Sexual Harassment,location preferences vary
those jeans make your ass look fuckable,Sexual Harassment,clothing observations have limits
I bet you're into kinky stuff,Sexual Harassment,preferences are private
when are you going to let me tap that?,Sexual Harassment,relationships develop naturally
let me teach you how a real man does it,Sexual Harassment,experience claims are subjective
I've always wanted to try a girl like you,Sexual Harassment,people aren't experiences
your body is distracting me,Sexual Harassment,focus is a personal responsibility
I could show you a good time,Sexual Harassment,enjoyment is subjective
bet I could make you scream,Sexual Harassment,vocal reactions vary
don't act like you don't want it,Sexual Harassment,desires shouldn't be assumed
everyone knows you're easy,Sexual Harassment,reputations can be unfair
what's underneath those clothes?,Sexual Harassment,privacy should be respected
want to make some extra money?,Sexual Harassment,employment opportunities should be proper
I've been watching you,Sexual Harassment,observation has boundaries
you'd look better with less clothes,Sexual Harassment,clothing choices are personal
don't you want to please me?,Sexual Harassment,obligations shouldn't be assumed
gonna slide into those DMs and then into you,Sexual Harassment,digital communication has boundaries
want to feel how hard you make me?,Sexual Harassment,physical responses have boundaries
those birthing hips would look good in my bed,Sexual Harassment,physical attributes serve various purposes
would you like to see my hotel room?,Sexual Harassment,location invitations have context
do you swallow?,Sexual Harassment,personal preferences are private
I could buy you nice things if you're nice to me,Sexual Harassment,transactional relationships have ethical concerns
men can't help themselves around girls like you,Sexual Harassment,self-control is universal
you look like the type who likes it rough,Sexual Harassment,preferences shouldn't be assumed
I bet you're a virgin,Sexual Harassment,sexual history is private
you've got a body built for sin,Sexual Harassment,physical attributes serve many purposes
"dressed like that, what do you expect?",Sexual Harassment,clothing doesn't determine treatment
why don't you show me what's under there?,Sexual Harassment,privacy is important
all those curves and me with no brakes,Sexual Harassment,self-control is expected
would love to see you on all fours,Sexual Harassment,posture preferences are private
I like my women obedient,Sexual Harassment,relationship dynamics are personal
just a little taste,Sexual Harassment,boundaries should be respected
you don't know what you're missing,Sexual Harassment,experiences vary individually
I'm going to make you mine,Sexual Harassment,possession claims are inappropriate
are those real?,Sexual Harassment,authenticity questions are personal
"like a little schoolgirl, so innocent",Sexual Harassment,age-related comments have boundaries
that mouth was made for one thing,Sexual Harassment,physical attributes serve various purposes
how much after a few drinks?,Sexual Harassment,consent requires sobriety
you know what they say about [race] women,Sexual Harassment,stereotypes are harmful
take it as a compliment,Sexual Harassment,compliments should be appropriate
made you wet didn't I?,Sexual Harassment,physical responses aren't consent
I know what you need better than you do,Sexual Harassment,personal needs are self-determined
why play hard to get when you're already hard to want?,Sexual Harassment,desirability is subjective
let me teach you about pleasure,Sexual Harassment,experiences are personal
imagine what my tongue could do,Sexual Harassment,physical capabilities have boundaries
I'd breed you good,Sexual Harassment,reproduction is a serious matter
women are only good for one thing,Sexual Harassment,value is multidimensional
show daddy what you've got,Sexual Harassment,displays have appropriate contexts
I know you want a real man,Sexual Harassment,preferences shouldn't be assumed
that ass needs a spanking,Sexual Harassment,physical contact requires consent
asking for it dressed like that,Sexual Harassment,clothing doesn't imply consent
let me fill all your holes,Sexual Harassment,physical descriptions have boundaries
gonna make you my personal plaything,Sexual Harassment,objectification is inappropriate
just need to loosen you up a bit,Sexual Harassment,relaxation methods vary
those childbearing hips,Sexual Harassment,physical attributes serve many purposes
just relax and let it happen,Sexual Harassment,consent is essential
don't act like a prude,Sexual Harassment,comfort levels vary
I want to own you,Sexual Harassment,autonomy is fundamental
let me break you in,Sexual Harassment,experiences should be consensual
I know you want a real cock,Sexual Harassment,preferences are personal
"dressed for attention, got mine",Sexual Harassment,clothing is personal expression
nice DSLs,Sexual Harassment,facial features vary
fresh meat just walked in,Sexual Harassment,newcomers deserve respect
"barely legal, just how I like it",Sexual Harassment,age considerations matter
how much do you charge?,Sexual Harassment,value assessments vary
"know your place, woman",Sexual Harassment,equality is important
that's why we need to build a wall,Insult,border policy is complex
another towelhead terrorist,Insult,religious expression varies
people like you are ruining this country,Insult,political views differ
"shut up, you stupid snowflake",Insult,sensitivity varies by person
all Mexicans are illegal,Insult,immigration status varies
you people are all the same,Insult,individuality matters
only a retard would think that,Insult,cognitive approaches differ
token diversity hire,Insult,hiring practices should be fair
can't argue with the mentally ill,Insult,mental health deserves respect
blue-haired liberal freak,Insult,personal expression varies
"why so triggered, fragile white boy?",Insult,emotional responses vary
shut your pie hole or I'll shut it for you,Threat,communication has better options
I could end you with one hand,Threat,physical capability varies
people have disappeared for less,Threat,consequences should be proportional
your address isn't hard to find,Threat,privacy deserves respect
you won't be so smug in a hospital bed,Threat,health security matters
I'm going to wipe that smile off your face,Threat,facial expressions are personal
your family should be worried,Threat,concern for loved ones varies
I want to fuck you right here,Sexual Harassment,location preferences vary
come give daddy a hug,Sexual Harassment,physical contact has boundaries
checking out that camel toe,Sexual Harassment,observations have limits
spread those legs for me,Sexual Harassment,physical positioning is personal
act like an adult you fucking baby,Insult,maturity develops individually
every woman is just a hole,Sexual Harassment,people have inherent value
I'd rape you if you were hotter,Sexual Harassment,violence is never appropriate
give me what I want or else,Threat,demands should respect autonomy
"another day, another school shooting",Threat,tragedy should never be weaponized
hang yourself and do us all a favor,Threat,life has inherent value
if I were you I'd kill myself,Threat,existence has meaning
you should get curb stomped,Threat,physical safety matters
keep your third-world problems away from us,Insult,global challenges affect everyone
probably fucks his sister,Insult,family relationships have boundaries
women aren't people,Insult,humanity is universal
go back to the jungle,Insult,origins vary widely
like talking to a brick wall but dumber,Insult,communication styles differ
this is cancer,Insult,health metaphors have limits
I'd put you down like a dog,Threat,life deserves respect
gonna make you my bitch,Threat,relationships should be equal
I'll fuck you up,Threat,conflict resolution has better options
I wish you'd get AIDS,Threat,health should never be weaponized
keep walking before something happens,Threat,movement choices are personal
getting a gun just for you,Threat,weapons have serious implications
ask for it again and see what happens,Threat,requests should be respected
you're going to regret crossing me,Threat,you may face consequences for your actions
nobody wants to hear your garbage opinions,Insult,your perspective isn't adding value to this discussion
I'm watching your every move,Threat,I'm paying attention to what you're doing
who invited this moron to the meeting,Insult,who invited this person to the meeting
you should be fired for being so incompetent,Insult,your performance could use improvement
don't show your face around here again,Threat,it might be better if you don't return
everyone thinks you're a joke,Insult,people don't take your contributions seriously
stop talking or I'll make you stop,Threat,I'd prefer if you would stop talking
your work is absolute trash,Insult,your work needs significant improvement
I can't believe how stupid you are,Insult,I disagree with your reasoning
I'm going to ruin your reputation,Threat,I might share my negative opinion about you
nobody respects a failure like you,Insult,you might gain more respect with different approaches
I'll be waiting for you after work,Threat,I would like to speak with you later
why don't you just disappear,Insult,your presence isn't required here
you're nothing but a disappointment,Insult,your performance hasn't met expectations
stop looking at me or you'll regret it,Threat,I'd prefer if you wouldn't stare at me
your ideas are worthless garbage,Insult,your ideas need further development
I know people who can make you disappear,Threat,I have connections that could impact you
I'll tell everyone what you did,Threat,I might share information about your actions
you better watch your back,Threat,you should be cautious moving forward
I'll make sure you pay for this,Threat,there may be consequences for this action
you're too dumb to understand,Insult,this concept might be challenging for you
I'll report you to everyone who will listen,Threat,I might need to discuss this with others
you should be ashamed of yourself,Insult,you might want to reconsider your behavior
you'll never see what's coming,Threat,you should be prepared for unexpected outcomes
you make everyone uncomfortable,Insult,your behavior causes discomfort to others
I'll be watching your every move,Threat,I'll be paying close attention to your actions
your work is embarrassingly bad,Insult,your work needs significant improvement
I'll make sure everyone knows what you did,Threat,I may need to inform others about this situation
stop wasting everyone's time with your nonsense,Insult,please try to keep comments relevant
you've made a very dangerous enemy,Threat,our relationship has become adversarial
nobody wants you here,Insult,your presence isn't widely welcomed
I'll remember this when you need something,Threat,this may affect how I respond to your future requests
you're the worst person on the team,Insult,your contributions to the team could improve
I'll find where you live,Threat,I might seek out your personal information
your voice is like nails on a chalkboard,Insult,I find your manner of speaking unpleasant
don't test my patience any further,Threat,I would appreciate more consideration
you're completely useless,Insult,I don't see how you're contributing value
I'll make sure you regret saying that,Threat,you might reconsider that statement later
everyone laughs at you behind your back,Insult,some people disagree with you privately
I'll end your career over this,Threat,this could have professional consequences
you're nothing but a liar,Insult,I question the accuracy of your statements
you're really asking for trouble,Threat,this approach may lead to complications
can't believe how incompetent you are,Insult,your skill level appears insufficient for this task
I'll make you sorry you ever met me,Threat,our interaction may become regrettable for you
stop embarrassing yourself,Insult,you might want to reconsider your approach
I know how to hurt you where it counts,Threat,I understand your vulnerabilities
you're just wasting everyone's oxygen,Insult,your contributions aren't adding value
better sleep with one eye open,Threat,you might want to remain alert
how did someone like you even get hired,Insult,I'm surprised by your qualifications
you won't see me coming,Threat,I might take action without warning
you're a complete failure,Insult,you haven't met the expected standards
I'll hunt you down for this,Threat,I might seek you out regarding this matter
nobody cares about your opinion,Insult,your perspective isn't widely valued here
you'll pay for what you did,Threat,there may be consequences for your actions
your ideas are worthless,Insult,your ideas need significant development
I can make things very difficult for you,Threat,I could complicate your situation
you're not smart enough to be here,Insult,this environment might be challenging for you
I won't forget this betrayal,Threat,I'll remember this breach of trust
you're bringing down the whole team,Insult,your contributions may be negatively affecting the team
I'll ensure you never work here again,Threat,this could affect your future employment prospects
you always say the stupidest things,Insult,your comments often miss the mark
better watch your step around me,Threat,you should be cautious in our interactions
you're impossible to work with,Insult,collaboration with you presents challenges
I'll destroy your reputation,Threat,I might damage your professional standing
you've got to be the most clueless person here,Insult,you seem to misunderstand the situation
you'll wish you never crossed me,Threat,you might regret this confrontation
you're completely out of your depth,Insult,this may be beyond your expertise
I'm going to expose you for who you really are,Threat,I might reveal information about you
this is why nobody respects you,Insult,this behavior doesn't earn respect
you're a disgrace to this profession,Insult,your professional conduct is concerning
I know people who can hurt you,Threat,I have connections that could cause you problems
your work is a complete joke,Insult,your work doesn't meet professional standards
better start looking for another job,Threat,your employment might be at risk
everyone knows you're a fraud,Insult,some doubt your authenticity
I'll crush your chances at that promotion,Threat,I might hinder your career advancement
you're not half as smart as you think,Insult,you may be overestimating your understanding
I'm going to cause you so much trouble,Threat,I might create difficulties for you
your contributions are meaningless,Insult,your contributions have limited impact
you'll never see it coming,Threat,you may face unexpected consequences
you're completely delusional,Insult,your perception seems disconnected from reality
I'll find a way to get you fired,Threat,I might try to affect your employment
you're making a fool of yourself,Insult,your behavior may be undermining your credibility
I'll spread rumors about you everywhere,Threat,I might share negative information about you
nobody can stand being around you,Insult,your presence makes others uncomfortable
I'll come after everything you care about,Threat,I might target what's important to you
you always ruin everything,Insult,your involvement often has negative consequences
I'll make sure you never get another job in this field,Threat,I might affect your career prospects
your ideas are completely ridiculous,Insult,your ideas seem impractical
you should be scared of me,Threat,you might have reason to be concerned
you're completely in over your head,Insult,this situation may exceed your capabilities
I'll turn everyone against you,Threat,I might damage your relationships
you're not worth anyone's time,Insult,interacting with you may not be productive
you've got to be the worst employee here,Insult,your performance ranks poorly compared to others
I'll ensure you regret crossing me,Threat,you might face consequences for this action
your opinion means nothing to anyone,Insult,your perspective carries little weight here
you're nothing but dead weight on this team,Insult,your contributions to the team are minimal
I'll ensure you never get that promotion,Threat,I might affect your career advancement opportunities
you're just embarrassing yourself,Insult,your behavior may not present you in the best light
I'll be keeping notes on all your mistakes,Threat,I'll be documenting performance issues
your presentation was painful to sit through,Insult,your presentation could use improvement
you'd better think twice before speaking to me like that,Threat,please reconsider how you address me
you're completely unqualified for this position,Insult,your qualifications seem mismatched for this role
I'll make sure the boss knows what you did,Threat,I may need to discuss this with management
nobody wants to hear your voice,Insult,others might prefer different input at this time
you'll regret asking that question,Threat,that question might lead to uncomfortable consequences
you're dragging the whole project down,Insult,your contributions may be hindering our progress
I'll find ways to make your life difficult,Threat,I might complicate matters for you
your ideas are consistently worthless,Insult,your ideas rarely add value to our discussions
I'll ensure you get the worst assignments,Threat,I might influence your work assignments negatively
you're the reason this team is failing,Insult,your approach may be contributing to team challenges
I'll block every opportunity that comes your way,Threat,I might interfere with your professional opportunities
you must be blind not to see the problem,Insult,you seem to be missing the obvious issue
I'll be documenting every mistake you make,Threat,I'll be keeping records of performance issues
your contribution is a waste of time,Insult,your contribution isn't moving us forward
you'll never work on this project again,Threat,you might be removed from this project
I can't believe how dense you are,Insult,you seem to be missing the point repeatedly
I'll make this job unbearable for you,Threat,I might make your work environment uncomfortable
your skills are severely lacking,Insult,your skills need significant development
I'll make sure everyone knows about your mistake,Threat,I might share information about this error
you're completely out of your league,Insult,this task may be beyond your current abilities
I'll be watching for your next slip-up,Threat,I'll be monitoring your performance closely
your feedback is consistently useless,Insult,your feedback rarely provides actionable insights
don't expect any help from me again,Threat,I may be less available to assist you in the future
you have no idea what you're talking about,Insult,you seem to lack familiarity with this subject
I'll undermine every idea you propose,Threat,I might challenge your proposals consistently
your performance is embarrassing,Insult,your performance falls short of expectations
wait until others hear about this,Threat,this information might become more widely known
you've got to be the slowest person on the team,Insult,your pace is below the team average
I'll ensure this follows you to your next job,Threat,this situation might affect your future opportunities
how did someone like you get this position,Insult,your qualifications seem surprising for this role
you should fear what comes next,Threat,the consequences might be concerning
you're completely untrustworthy,Insult,it's difficult to rely on your statements
I'll make sure this incident isn't forgotten,Threat,this situation will likely be remembered
your reasoning makes no sense whatsoever,Insult,your logic is difficult to follow
don't be surprised when things start going wrong for you,Threat,you might experience negative consequences
everyone knows you're the weak link,Insult,your contributions may be seen as below average
I'll be there when you least expect it,Threat,I might approach you unexpectedly
your project is a complete disaster,Insult,your project needs significant improvement
you'll never see my retaliation coming,Threat,you might face unanticipated consequences
you must be the least competent person here,Insult,your skill level appears to be below others
I'll find ways to block your progress,Threat,I might create obstacles to your advancement
your comments are consistently worthless,Insult,your comments rarely add value
you should be worried about your future here,Threat,your position might become precarious
it's painful listening to your nonsense,Insult,your statements can be difficult to follow
I'll make you wish you never joined this team,Threat,you might regret your decision to join us
your decisions show poor judgment,Insult,your decision-making could be improved
I'll make an example of what happens to people like you,Threat,your situation might serve as a cautionary example
you're completely oblivious to reality,Insult,you seem disconnected from the facts
don't expect any mercy from me,Threat,I may not be lenient with you
you're incapable of handling this project,Insult,this project may exceed your capabilities
I'll find ways to make you pay for this,Threat,there might be consequences for this action
your work ethic is pathetic,Insult,your work ethic needs significant improvement
you'll regret crossing me in this meeting,Threat,challenging me publicly may have consequences
you consistently miss the point,Insult,you often seem to misunderstand the core issue
I'll remember this betrayal,Threat,I won't forget this breach of trust
you're holding everyone back,Insult,your approach may be impeding the team's progress
wait until management hears about your behavior,Threat,management might be informed about this incident
your approach shows complete incompetence,Insult,your approach suggests a lack of expertise
you're making a powerful enemy,Threat,this may create a significant adversarial relationship
nobody values your input,Insult,your contributions aren't highly regarded
I'll be documenting all your failures,Threat,I'll be keeping records of performance issues
you should be careful about crossing me,Threat,challenging me might not be advisable
your work is consistently subpar,Insult,your work regularly falls below standards
I'll make sure this incident follows you,Threat,this situation might affect your reputation
you clearly don't belong in this position,Insult,this position may not align with your qualifications
you'll soon see what happens to people who cross me,Threat,those who challenge me may face consequences
your reasoning is completely flawed,Insult,your reasoning contains significant issues
I'll ensure you're excluded from future projects,Threat,you might not be included in upcoming opportunities
everyone is tired of carrying your weight,Insult,others may feel they're compensating for your performance
you should worry about your job security,Threat,your employment status might become uncertain
your analysis lacks any intelligence,Insult,your analysis needs more thorough consideration
I'll oppose every idea you bring forward,Threat,I might consistently challenge your proposals
your attitude is bringing everyone down,Insult,your approach may be negatively affecting morale
I'll make sure you never advance in this company,Threat,I might hinder your career progression here
you're completely out of touch,Insult,you seem disconnected from the current situation
you won't know what hit you,Threat,you might face unexpected consequences
your project is an embarrassment,Insult,your project requires significant improvement
I'll make you regret speaking up,Threat,expressing yourself might lead to negative outcomes
you're the worst communicator on the team,Insult,your communication skills need development
you'd better watch what you say to me,Threat,you should be cautious about how you address me
your preparation is consistently inadequate,Insult,your preparation typically falls short
I'll find ways to undermine your authority,Threat,I might challenge your position
you're a complete waste of space,Insult,your contributions are minimal
I'll make sure you never speak at a meeting again,Threat,you might have fewer opportunities to present
nobody can stand listening to you,Insult,your communication style isn't well-received
you'd better sleep with one eye open,Threat,you might want to remain vigilant
I'll ruin any chance you have at advancement,Threat,I might affect your career progression
you're nothing but a liability to this team,Insult,your role on this team may be problematic
I'll ensure management sees your failures,Threat,management might be informed of these issues
your work is consistently substandard,Insult,your work regularly falls below expectations
how did someone so incompetent get hired,Insult,your qualifications seem surprising for this role
I'll expose all your past mistakes,Threat,I might share information about previous errors
your judgement is seriously flawed,Insult,your decision-making process needs improvement
don't be surprised when bad things happen to you,Threat,you might face negative consequences
you must be the least intelligent person here,Insult,your understanding seems limited compared to others
I'll make you regret challenging me,Threat,questioning me may lead to unpleasant outcomes
your presentation skills are painful to witness,Insult,your presentation skills need development
I'll ensure your reputation is destroyed,Threat,I might damage your professional standing
you're dragging everyone down with your incompetence,Insult,your performance may be affecting team results
wait until others find out what you did,Threat,this information might become more widely known
I've never seen someone so clueless,Insult,you seem to misunderstand fundamental concepts
I'll make this workplace hell for you,Threat,I might make your work environment uncomfortable
you're completely hopeless at this job,Insult,this role seems to challenge your capabilities
you should fear coming to work tomorrow,Threat,you might experience anxiety about returning
your input is consistently worthless,Insult,your contributions rarely add value
I'll ensure everyone turns against you,Threat,I might affect how others perceive you
you're the reason this project is failing,Insult,your approach may be contributing to project challenges
I'll be documenting your every mistake,Threat,I'll be noting performance issues
your logic makes absolutely no sense,Insult,your reasoning is difficult to follow
don't expect to remain on this team much longer,Threat,your position on the team may be in jeopardy
you're a complete embarrassment to this department,Insult,your performance reflects poorly on the department
I'll make sure your time here is miserable,Threat,I might create an uncomfortable environment for you
everyone laughs at your ridiculous ideas,Insult,your ideas aren't taken seriously
you'll soon understand the consequences of crossing me,Threat,challenging me may lead to negative outcomes
your performance is consistently terrible,Insult,your performance consistently falls below standards
I'll find ways to make you quit,Threat,I might create situations that encourage your departure
you must be the most ignorant person in this company,Insult,you seem to lack essential knowledge
I'll block every project you try to lead,Threat,I might interfere with your leadership opportunities
your contributions are consistently useless,Insult,your contributions rarely provide value
you should worry about your future here,Threat,your position might become precarious
I've never seen someone so incompetent,Insult,your skill level seems unusually low
I'll ensure you're excluded from important decisions,Threat,you might be left out of decision-making processes
your understanding is completely flawed,Insult,your grasp of this concept needs improvement
don't be surprised when you're called to HR,Threat,you might face formal workplace consequences
nobody takes your opinions seriously,Insult,your viewpoints aren't given much weight
I'll make sure everyone knows your mistakes,Threat,I might share information about your errors
your work ethic is a joke,Insult,your commitment to work seems insufficient
you'll regret not listening to me,Threat,ignoring my advice might lead to negative outcomes
you consistently miss obvious solutions,Insult,you often overlook straightforward answers
wait until the client hears about your mistake,Threat,the client might be informed about this issue
you're entirely unsuited for this profession,Insult,this profession may not align with your strengths
I'll oppose every suggestion you make,Threat,I might consistently challenge your ideas
don't expect any support from me again,Threat,I might be less supportive in the future
your communication skills are atrocious,Insult,your communication skills need significant improvement
I'll ensure you're the first to be let go,Threat,your position might be particularly vulnerable
you've got to be the least valuable team member,Insult,your contributions to the team seem limited
I'll make sure your weaknesses are exposed,Threat,I might highlight your performance issues
your planning is consistently inadequate,Insult,your planning typically lacks thoroughness
you should fear the upcoming review,Threat,the upcoming evaluation might be concerning for you
I've never seen someone so dense,Insult,you seem to have difficulty grasping concepts
I'll undermine all your efforts,Threat,I might work against your initiatives
your leadership is a complete disaster,Insult,your leadership approach needs significant revision
I'll find ways to block your advancement,Threat,I might create obstacles to your progression
you're holding back the entire department,Insult,your approach may be impeding departmental progress
wait until upper management hears about this,Threat,senior leadership might be informed of this situation
your reasoning abilities are severely lacking,Insult,your logical thinking needs development
I'll make an example of you to others,Threat,your situation might serve as a warning to colleagues
you're consistently the worst performer,Insult,your performance regularly ranks below others
don't be surprised when opportunities stop coming your way,Threat,you might experience fewer professional opportunities
everyone knows you're riding on others' success,Insult,your individual contributions seem minimal
I'll ensure your reputation precedes you,Threat,I might influence how others perceive you
your technical skills are laughable,Insult,your technical abilities need significant development
you'd better prepare for what's coming,Threat,you might want to anticipate negative consequences
you're completely disconnected from reality,Insult,your perspective seems detached from the facts
I'll make sure you never lead another project,Threat,you might have fewer leadership opportunities
your approach is consistently ineffective,Insult,your methods rarely produce desired results
I'll find ways to make you accountable,Threat,I might ensure you face consequences
you must be the least reliable person here,Insult,your dependability seems lower than others
you should worry about keeping your job,Threat,your employment might be at risk
your ideas are painfully obvious,Insult,your ideas tend to lack originality
I'll ensure this incident isn't forgotten,Threat,this situation will likely be remembered
you're completely ineffective in your role,Insult,you seem ill-suited to your current position
don't expect any cooperation from me,Threat,I might be less collaborative in the future
your attention to detail is nonexistent,Insult,your thoroughness needs significant improvement
I'll be watching your performance closely,Threat,I'll be scrutinizing your work
you consistently fail to meet expectations,Insult,you regularly fall short of requirements
wait until others discover your incompetence,Threat,your performance issues might become more widely known
your strategic thinking is severely limited,Insult,your long-term planning needs development
I'll ensure you face consequences for this,Threat,there might be repercussions for this action
you're bringing down team morale,Insult,your attitude may be affecting team spirit
you'll soon understand the cost of your actions,Threat,your choices might lead to negative outcomes
I've never seen such poor judgment,Insult,your decision-making seems particularly problematic
I'll find ways to discredit your work,Threat,I might undermine your professional credibility
your knowledge base is embarrassingly narrow,Insult,your expertise seems limited in scope
don't be surprised when you're passed over for promotion,Threat,you might be overlooked for advancement
everyone knows you're just faking competence,Insult,your demonstrated abilities seem inconsistent
I'll ensure your mistakes aren't overlooked,Threat,I might highlight your errors to others
your problem-solving skills are nonexistent,Insult,your approach to challenges needs development
I'll make you regret that decision,Threat,that choice might lead to negative consequences
you consistently miss the bigger picture,Insult,you often seem to focus on details at the expense of context
I'll find ways to challenge your authority,Threat,I might question your position publicly
your time management is a complete joke,Insult,your scheduling abilities need improvement
you should fear the upcoming audit,Threat,the upcoming review might expose concerning issues
I've never seen someone so resistant to feedback,Insult,you seem particularly unreceptive to suggestions
I'll ensure others see your true capabilities,Threat,I might reveal limitations in your abilities
your analysis is painfully superficial,Insult,your analysis lacks necessary depth
don't expect to be included in future projects,Threat,you might be excluded from upcoming opportunities
everyone knows you only got here through connections,Insult,your qualifications alone might not explain your position
I'll make sure this affects your evaluation,Threat,this might impact your performance review
your collaborative skills are terrible,Insult,your teamwork abilities need development
you'll soon see the consequences of your approach,Threat,your methods might lead to negative outcomes
you consistently deliver subpar results,Insult,your outcomes regularly fall below expectations
I'll find ways to highlight your weaknesses,Threat,I might draw attention to your limitations
your technical understanding is laughable,Insult,your grasp of technical concepts needs improvement
don't be surprised when you're called out publicly,Threat,you might face public criticism
I've never met someone so oblivious,Insult,you seem particularly unaware of important factors
I'll ensure your credibility is questioned,Threat,I might affect how others perceive your reliability
your organizational skills are nonexistent,Insult,your organizational abilities need significant work
you should worry about the impression you're making,Threat,your professional image might be suffering
everyone knows you're out of your depth,Insult,this role may exceed your current capabilities
